,smiles,score
50,CC1=C(C(O)(C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)SC=C1,2.112671287437628
51,[O-][N+]1=C(CC2=CC=CC=C2)C2=NCCCN2C2=CC=CC=C21,3.6830204330285183
52,CCCN(C)C1CCC(NC(=O)CNC(=O)C2=CC=CC(C(F)(F)F)=C2)CC1CS(=O)(=O)C1=CC=CC=C1,4.731401066496616
53,O=C(NO)C1=CN=C(NCC2=CC=CC=C2C(F)(F)F)N=C1,3.8721346072221077
54,CC1(N2CCC(C3=CC(C4=CC=C(F)C=C4Cl)=C4CNC(=O)N(C5=C(Cl)C=CC=C5Cl)C4=C3)CC2)CC1,4.98899945418398
55,C=C(CCC12OC(C3=NN=NN3)C(O)(C(=O)O)C(C(=O)O)(O1)C(OC(=O)C=CC(C)CC(C)CC)C2O)C(C(C)=O)C(C)CC1=CC=CC=C1,4.648032095492627
56,COC1=CC=C(NC(=O)C(CC2=CC=CC=C2)NC2=CC(C)=NC(NCCC3=CC=CC=C3)=N2)C=C1,4.629612625290317
57,CC1=CC=C(C(=O)NC2=CC=C3C=C4C=CC(NC(=O)C5=CC=C(C)C=C5)=CC4=NC3=C2)C=C1,3.3669286277398447
58,C#CCOCCOCCOCCNC1=NC(N2CCN(C(=O)C(CCCCN)N3C=C(CC(C)O)N=N3)CC2)=NC(N2CCN(C(=O)C(C(C)CC)N3C=C(CCCCN)N=N3)CC2)=N1,4.865874867142734
59,COC1=CC=C(C2=C3C(=O)N(C)C(=O)N(C)C3=C3C(C4=CC=C(OC)C=C4)NC4=CC=CC=C4N23)C=C1,4.15497447656359
60,NC(=O)C1=CC=CC(C2=CC=CC3=C2CC(=O)C(N)CC3)=C1,3.771775301797105
61,CCSC1=C(C#N)C(C2=CC=CC=C2C)CC(=O)N1,2.651405299558909
62,O=C(NC(=S)NC1=CC=C(C(=O)N2CCOCC2)C=C1)C1=CC=C([N+](=O)[O-])C=C1,2.8642172065173113
63,CCCN1C(COC2=C(OC)C=CC3=CC4=[N+](C=C23)CCC2=CC3=C(C=C24)OCO3)=NC2=CC=CC=C21,4.21657307055429
64,CC(C)(C)OC(=O)N1CCN(CCNC(=O)C2=CC=CC=C2)CC1,2.505403411668936
65,CC1=CC=C(C=CC2=CC=C3C=CC=CC3=[N+]2C)C=C1,2.422275509341559
66,COC1=CN=CC=C1C1CCC(N2CC(NC(=O)CNC(=O)C3=CC=CC(C(F)(F)F)=C3)C2)CC1,4.7292489804013105
67,CCCCCCCCCCS(=O)(=O)ON=C(N)C1=CC=CN=C1,3.316445675443878
68,C1=CN(CC2=CC=C(C3=CN=CN=C3)C=C2)C=N1,3.1512770377807935
69,CC(=NNC(=O)C1=CC=CC=C1)C1=CC=C(OCC(=O)O)C=C1,2.3988818534842156
70,O=C(NNC1=CC=C([N+](=O)[O-])C=N1)NC1=CC=C(N=NC2=CC=CC=C2)C=C1,2.567532226094502
71,COC(=O)C1=C(C)OC(=O)C(NC(=O)C2=CC=CC=C2)=C1,2.229399501537789
72,NC(=O)C1=C(S(=O)(=O)NC2CCC2)C2=CC(Br)=CC=C2N1,3.406466109072455
73,CC1=CC=CC(NS(=O)(=O)C2=CC=C(C)C(C(N)=O)=C2)=C1,2.434955983314469
74,OC(=NC1=CSC(C2=NN=CN2C2CC2)=N1)C1=CC(N2C=NC(C3CC3)=C2)=C(N2CCCOCC2)C=N1,4.955907551632809
75,CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(N3C=CC(N)=NC3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO,4.429430729004187
76,CC(C)OC1=CC=C(C(=O)CC(=O)NC2=CC=C(S(=O)(=O)F)C=C2)C=C1,3.7769561952079425
77,O=C(O)C1=CC(NC(S)=NCCSCCCOC2OC(CO)C(O)C(O)C2O)=CC(NC(S)=NCCSCCCOC2OC(CO)C(O)C(O)C2O)=C1,3.6064711137261085
78,COC(=O)C1=CC(NS(=O)(=O)C2=CC=C3OCCOC3=C2)=CC=C1Cl,3.1193274165575895
79,COC1=CC=CC(N2C(=O)C(=CC3=CC=C(OCC(=O)NC4=CC=C(Cl)C=C4)C=C3)N=C2C2=CC=CC=C2)=C1,4.057074315472914
80,ClC1=CC=C(SC2=CC=CC=C2C2=NCCN2)C=C1,2.813351330620403
81,COC1=CC=C(NC(C)=O)C=C1N1C(=O)C(=CC2=CC(OC)=C(OC)C(OC)=C2)S(=O)(=O)C1C1=CC=CC=C1,3.4442301130126527
82,CCOC(=O)C1=C(C)NC(=O)NC1C1=CC=C(Cl)C=C1Cl,2.398254251338125
83,O=C(C1=CC=C(Cl)C=C1Cl)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1Cl,2.918287104702584
84,COCOCC1=CC(OC)=C(OC)C=C1C1=CC2=CC=CC=C2C(=O)N1,3.0253178299626335
85,CCC1=CC=CC=C1NS(=O)(=O)C1=CC=C2NC=C(C(=O)N(CC(C)C)CC(C)C)C(=O)C2=C1,4.653717847390381
86,COC(=O)C(C(C)C)N1C(=O)C2CC3=CC=CC=C3CN2C1(C)C,3.3459571613031045
87,COC1=CC=C(CCNC(C)COC2=C(C)C=C(C#N)C=C2C)C=C1O,3.6642591205323374
88,CON=C(C1=CC=CC=C1C=NOC(C)C1=CC=CC=C1C(F)(F)F)C1=NC=CN1C,3.8624351119932583
89,O=S(=O)(NC1=CC=CC(C2=CC=C(N3CCCC3)N=N2)=C1)C1=CC(F)=CC=C1F,4.944315823970301
90,CC1=CN(C2CC(O)C(CO)(N3C=C(CON4C(=O)C5=CC=CC=C5C4=O)N=N3)O2)C(=O)NC1=O,3.987434678313852
91,COC1=CC=C2CC3C4=C(C=C5OCOC5=C4C2=C1OC)CC[N+]3(C)C,3.418219990118316
92,O=C(CCCCCN1CCC(CC2=CC=CC=C2)CC1)N1C2=CC=CC=C2C2=CC=CC=C21,3.872165477926471
